id,vernacularName,language,locality
4385,aderne,PORTUGUES,Reserva de Linhares - Espírito Santo
4385,aroeira,PORTUGUES,Acre
4385,gibatan,PORTUGUES,Espírito Santo
4385,guaritá,PORTUGUES,sul e sudeste
4385,ubatan,PORTUGUES,Espírito Santo
4388,canjerana,PORTUGUES,Bahia
4388,cedro-brabo,PORTUGUES,Bahia
4393,maracanã,PORTUGUES,Rio Grande do Sul
4393,pau-ferro,PORTUGUES,Rio Grande do Sul
4394,almecega,PORTUGUES,Minas Gerais
4394,aroeira,PORTUGUES,Brasil
4394,aroeira-do-sertão,PORTUGUES,Minas Gerais
4394,urundeuva,PORTUGUES,São Paulo
4396,baraúna,PORTUGUES,nordeste
4396,braúna,PORTUGUES,nordeste
4397,aroeira-do-campo,PORTUGUES,Rio Grande do Sul
4397,carobá,PORTUGUES,Rio Grande do Sul
4398,aroeira-folha-de-salso,PORTUGUES,Sul
4398,aroeira-mansa,PORTUGUES,Sul
4400,assobiadeira,PORTUGUES,sul
4400,coquinho,PORTUGUES,sul
4401,aroeira-da-praia,PORTUGUES,Bahia
4401,aroeira-de-remédio,PORTUGUES,Bahia
4401,aroeira-mansa,PORTUGUES,Sudeste
4401,aroeira-vermelha,PORTUGUES,Bahia
4403,cajá-redondo,PORTUGUES,sudeste
4403,cajazeiro,PORTUGUES,sudeste
4404,cajá,PORTUGUES,Acre
4404,cajá-mirim,PORTUGUES,Brasil
4404,cajarana,PORTUGUES,Acre
4404,cajazeira,PORTUGUES,Acre; Bahia
4404,cajazinho,PORTUGUES,Acre
4404,taperebá,PORTUGUES,Brasil
4405,imbuzeiro,PORTUGUES,Nordeste
4405,tapereba,PORTUGUES,Nordeste
4405,umbu,PORTUGUES,Nordeste
4406,cajá,PORTUGUES,Nordeste
4406,cajá-miúda,PORTUGUES,Nordeste
4406,cajá-umbu,PORTUGUES,Nordeste
4406,cajazeira,PORTUGUES,Sudeste
4408,camboatá,PORTUGUES,Bahia
4408,cupuba,PORTUGUES,Bahia
4408,pau-pombo,PORTUGUES,Brasil
4408,peito-de-pomba,PORTUGUES,Bahia
4409,pau-pombo,PORTUGUES,Acre
4409,peito-de-pomba,PORTUGUES,sudeste
4411,amaparana,PORTUGUES,Norte
4411,manga-brava,PORTUGUES,Bahia
4411,mututurana,PORTUGUES,Norte
4411,tutuzuba-da-várzea,PORTUGUES,Norte
4508,dedal-de-princesa,PORTUGUES,Sudeste
4508,dedal-de-rainha,PORTUGUES,Sudeste
4508,margarida,PORTUGUES,Acre
4512,cipó-de-paina,PORTUGUES,Rio de Janeiro
4512,cipó-de-sapo,PORTUGUES,
4512,mouth-vine,INGLES,
4512,paina-de-seda,PORTUGUES,São Paulo
4512,cipó-de-leite-do-brejo,PORTUGUES,São Paulo
4517,cega-olho,PORTUGUES,Bahia
4517,margarida,PORTUGUES,Acre
4517,oficial-de-sala,PORTUGUES,Brasil
4517,chibança,PORTUGUES,Bahia
4517,paina-de-sapo,PORTUGUES,Bahia
4517,Pitchula-de-leite,PORTUGUES,Maranhão
4524,guatambuzinho,PORTUGUES,
4526,cabo-de-machado,PORTUGUES,
4526,pau-pereiro,PORTUGUES,
4526,quina,PORTUGUES,
4529,amarelão,PORTUGUES,Acre
4529,amarelão pitiá,PORTUGUES,Acre
